id,exchange_name,exchange_pair,volume(24h),price,volume(%)
bitcoin,Bitfinex,BTC/USD,572707000,9261.10,0.094
bitcoin,OKEx,BTC/USDT,366108000,9262.15,0.0601
bitcoin,Binance,BTC/USDT,366030000,9264.15,0.0601
bitcoin,bitFlyer,BTC/JPY,220488000,9348.91,0.0362
bitcoin,Binance,NCASH/BTC,177447000,9305.51,0.0291
bitcoin,Bithumb,BTC/KRW,175739000,9553.13,0.0288
bitcoin,GDAX,BTC/USD,163393000,9250.09,0.0268
bitcoin,Upbit,BTC/KRW,152682000,9558.75,0.0251
bitcoin,Bitstamp,BTC/USD,148887000,9277.55,0.0244
bitcoin,Huobi,BTC/USDT,144844000,9248.04,0.0238
bitcoin,Binance,BNB/BTC,114689000,9172.09,0.0188
bitcoin,Kraken,BTC/EUR,107084000 ,9271.94,0.0176
bitcoin,OKEx,ETH/BTC,102387000,9228.53,0.0168
bitcoin,Kraken,BTC/USD,98879700,9250.00,0.0162
bitcoin,BTCC,BTC/USD,81902500,9050.00,0.0134
bitcoin,Binance,ETH/BTC,69062500,9225.41,0.0113
bitcoin,OKEx,LTC/BTC,68164900,9269.55,0.0112
bitcoin,Lbank,VEN/BTC,60983300,9210.10,0.01
bitcoin,OKEx,BCH/BTC,59919200, 9276.26,0.0098
bitcoin,Gemini,BTC/USD,55186400,9258.48,0.0091
bitcoin,Huobi,ONT/BTC,54528400,9408.59,0.0089
bitcoin,HitBTC,BCH/BTC,54335100,9279.62,0.0089
bitcoin,HitBTC,BTC/USDT,51122400,9439.41,0.0084
bitcoin,Bit-Z,ETH/BTC,50052600,9232.82,0.0082
bitcoin,OKEx,ETC/BTC,48478500,9268.26,0.008
bitcoin,Lbank,QTUM/BTC,48043900,9352.93,0.0079
bitcoin,Binance,TRX/BTC,44855800,9223.47,0.0074
bitcoin,Binance,VEN/BTC,40233300,9251.94,0.0066
bitcoin,Lbank,BCC/BTC,37129200,9251.23,0.0061
bitcoin,Bitfinex,BTC/EUR,36547900,9251.82,0.006
bitcoin,Bit-Z,LTC/BTC,36287500,9248.30 ,0.006
bitcoin,Bit-Z,TRX/BTC,34621300,9223.47,0.0057
bitcoin,Binance,ICX/BTC,34243200,9163.72,0.0056
bitcoin,Bittrex,BTC/USDT,33446300,9245.28,0.0055
bitcoin,Coinone,BTC/KRW,32016600,9557.81,0.0053
bitcoin,Poloniex,BTC/USDT,29207300 ,9260.33,0.0048
bitcoin,Binance,NANO/BTC,27954800,9241.09,0.0046
bitcoin,Binance,LTC/BTC,27107700,9266.71,0.0044
bitcoin,Binance,XRP/BTC,25957600,9259.88,0.0043
bitcoin,EXX,ETH/BTC,25860800,9297.37,0.0042
bitcoin,Bitstamp,BTC/EUR,24869500,9258.93,0.0041
bitcoin,GDAX,BTC/EUR,23686500,9230.27,0.0039
bitcoin,Binance,NEO/BTC,23261800,9221.40,0.0038
bitcoin,Binance,ADA/BTC,22814600,9427.18,0.0037
bitcoin,Bitbank,BTC/JPY,22536700,9376.25,0.0037
bitcoin,CoinEgg,ETH/BTC,22015600,9229.42,0.0036
bitcoin,Bit-Z,EKT/BTC,20965200,9267.57,0.0034
bitcoin,HitBTC,ETH/BTC,20691000,9235.87,0.0034
bitcoin,HitBTC,DASH/BTC,19573900,9337.96,0.0032
bitcoin,Bittrex,NBT/BTC,19478200,9339.30,0.0032
bitcoin,Korbit,BTC/KRW,17978500,9574.21,0.003
bitcoin,CoinEgg,NEO/BTC,17355500,9138.15,0.0028
bitcoin,Huobi,HT/BTC,16825500,9271.85,0.0028
bitcoin,Bittrex,XEM/BTC,16790600,9413.23,0.0028
bitcoin,Binance,EOS/BTC,16623700,9255.84 ,0.0027
bitcoin,CoinBene,BTC/USDT,16557100,9241.16,0.0027
bitcoin,itBit,BTC/USD,16120500,9267.66,0.0026
bitcoin,CoinsBank,BTC/USD,16014000,9149.15,0.0026
bitcoin,Binance,SUB/BTC,15816900,9390.52,0.0026
bitcoin,Binance,STORM/BTC,15737200,9235.86,0.0026
bitcoin,CEX.IO,BTC/USD,15659600,9426.70,0.0026
bitcoin,HitBTC,XMR/BTC,15316200,9209.94,0.0025
bitcoin,Huobi,TRX/BTC,14956100,9224.65,0.0025
bitcoin,CoinsBank,BTC/GBP,14252400,9214.69,0.0023
bitcoin,Binance,IOST/BTC,14085900,9188.05,0.0023
bitcoin,Neraex,BTC/JPY,14015300,9342.48,0.0023
bitcoin,Binance,BCC/BTC,13942100,9280.43 ,0.0023
bitcoin,Simex,BTC/USD,13804900,9240.00,0.0023
bitcoin,Huobi,ETH/BTC,13172400,9226.20,0.0022
bitcoin,Bit-Z,BCH/BTC,13120700,9268.69,0.0022
bitcoin,Livecoin,ETH/BTC,12788000,9271.17,0.0021
bitcoin,Binance,GVT/BTC,12768500,9266.95,0.0021
bitcoin,Upbit,XEM/BTC,12253500,9411.40,0.002
bitcoin,Bit-Z,XRB/BTC,11808700,9238.72,0.0019
bitcoin,Exmo,BTC/USD,11799000,9629.70,0.0019
bitcoin,Bitfinex,ETH/BTC,11616300,9237.81,0.0019
bitcoin,Binance,MCO/BTC,11537300,9270.77,0.0019
bitcoin,Livecoin,BTC/USD,11377100,9430.41,0.0019
bitcoin,Bittrex,ADA/BTC,11360500,9442.67,0.0019
bitcoin,Tidex,WAVES/BTC,11127700,9262.29,0.0018
bitcoin,CoinEgg,TRX/BTC,10933300,9282.98,0.0018
bitcoin,Bit-Z,OC/BTC,10853400,9617.02,0.0018
bitcoin,Poloniex,ETH/BTC,10690700,9250.01,0.0018
bitcoin,OKEx,EOS/BTC,10548300,9248.12,0.0017
bitcoin,Huobi,ELF/BTC,10496500,9253.27,0.0017
bitcoin,Binance,XLM/BTC,10309200,9378.08,0.0017
bitcoin,CoinsBank,BTC/EUR,10263600,9146.52,0.0017
bitcoin,Poloniex,XRP/BTC,9854060,9275.18,0.0016
bitcoin,Binance,MTL/BTC,9842650,9270.21,0.0016
bitcoin,Bittrex,ETH/BTC,9476170,9203.37,0.0016
bitcoin,Bitfinex,BCH/BTC,9290550,9273.47,0.0015
bitcoin,LakeBTC,BTC/USD,9117480,9879.88,0.0015
bitcoin,Lbank,ETH/BTC,8908170,9225.45,0.0015
bitcoin,Binance,ONT/BTC,8819530,8511.42,0.0014
bitcoin,BitBay,BTC/PLN,8512480,9315.65,0.0014
bitcoin,OKEx,XRP/BTC,8392800,9276.27,0.0014
bitcoin,OKEx,TRUE/BTC,7948150,9416.52,0.0013
bitcoin,Paribu,BTC/TRY,7867380,9294.67,0.0013
bitcoin,WEX,BTC/USD,7709080,9258.91,0.0013
bitcoin,Poloniex,XEM/BTC,7693550,9462.90,0.0013
bitcoin,Binance,IOTA/BTC,7634350,9302.14,0.0013
bitcoin,Huobi,ABT/BTC,7617090,9231.54,0.0013
bitcoin,Binance,XMR/BTC,7498260,9230.80,0.0012
bitcoin,Lbank,ZEC/BTC,7466460,9261.52,0.0012
bitcoin,Upbit,ADA/BTC,7019780,9434.92,0.0012
bitcoin,Binance,ETC/BTC,7018320,9255.99,0.0012
bitcoin,Upbit,NBT/BTC,6875690,9270.14,0.0011
bitcoin,Liqui,TRX/BTC,6871960,9247.18,0.0011
bitcoin,EXX,BCC/BTC,6819260,9260.55,0.0011
bitcoin,Binance,AST/BTC,6718740,9252.94,0.0011
bitcoin,Binance,PPT/BTC,6685570,9209.62,0.0011
bitcoin,WEX,BCH/BTC,6668320,9252.49,0.0011
bitcoin,Exmo,BTC/RUB,6550450,9004.49,0.0011
bitcoin,Binance,TNT/BTC,6349000,9222.42,0.001
bitcoin,Upbit,EMC2/BTC,6300590,9458.78,0.001
bitcoin,Bitstamp,ETH/BTC,6275920,9255.32,0.001
bitcoin,Poloniex,XMR/BTC,6149500,9244.52,0.001
bitcoin,EXX,LTC/BTC,6090080,9280.31,0.001
bitcoin,Foxbit,BTC/BRL,5952620,9526.05,0.0
bitcoin,Bittrex,EMC2/BTC,5917820,9496.82,0.001
bitcoin,YoBit,ETH/BTC,5702590,9259.94,0.0009
bitcoin,HitBTC,ZEC/BTC,5637010,9273.33,0.0009
bitcoin,Bit-Z,ETC/BTC,5630380,9260.99,0.0009
bitcoin,Huobi,MEE/BTC,5629950,9428.77,0.0009
bitcoin,YoBit,DASH/BTC, 5618720,9331.27,0.0009
bitcoin,Binance,CTR/BTC,5454180,9252.87,0.0009
bitcoin,Binance,WAVES/BTC,5441930,9230.55,0.0009
bitcoin,BCEX,ETH/BTC,5438110,9041.63,0.0009
bitcoin,Exrates,BTG/BTC,5425120,9598.25,0.0009
bitcoin,Poloniex,BCH/BTC,5421730,9278.04,0.0009
bitcoin,Upbit,TRX/BTC,5407800,9247.18,0.0009
bitcoin,Bitinka,BTC/USD,5399920,9224.28,0.0
bitcoin,Binance,WTC/BTC,5359550,9127.31,0.0009
bitcoin,GetBTC,BTC/RUB,5338820,9502.89,0.0009
