name,symbol,liquidity,dev_score,community_score,public_interest_score,total_score,report_date
Bitcoin,BTC,3585989391,0.98,0.9,0.44,0.91,2018-03-14 10:38:41
Ethereum,ETH,929916594,0.94,0.75,0.41,0.84,2018-03-14 10:38:41
Ripple,XRP,282075000,0.83,0.71,0.38,0.78,2018-03-14 10:38:41
Litecoin,LTC,421911636,0.77,0.68,0.4,0.75,2018-03-14 10:38:41
Monero,XMR,70881758,0.9,0.67,0.42,0.75,2018-03-14 10:38:41
EOS,EOS,210988355,0.88,0.6,0.39,0.74,2018-03-14 10:38:41
NEO,NEO,111466592,0.81,0.71,0.37,0.74,2018-03-14 10:38:41
Stellar,XLM,30951707,0.86,0.62,0.44,0.71,2018-03-14 10:38:41
Cardano,ADA,129661471,0.87,0.57,0.34,0.71,2018-03-14 10:38:41
Bitcoin Cash,BCH,386956251,0.7,0.55,0.41,0.7,2018-03-14 10:38:41
Dash,DASH,79847684,0.85,0.54,0.4,0.7,2018-03-14 10:38:41
Ethereum Classic,ETC,189354139,0.81,0.51,0.42,0.7,2018-03-14 10:38:41
Tron,TRX,186187722,0.79,0.57,0.32,0.7,2018-03-14 10:38:41
Qtum,QTUM,105993000,0.84,0.49,0.35,0.68,2018-03-14 10:38:41
Nano,NANO,46022252,0.8,0.59,0.3,0.68,2018-03-14 10:38:41
Zcash,ZEC,45768200,0.88,0.48,0.41,0.68,2018-03-14 10:38:41
Dogecoin,DOGE,4435175,0.84,0.68,0.37,0.67,2018-03-14 10:38:41
Lisk,LSK,14898725,0.87,0.54,0.37,0.67,2018-03-14 10:38:41
Gas,GAS,3021864,0.81,0.71,0.35,0.66,2018-03-14 10:38:41
IOTA,IOT,20089206,0.63,0.62,0.45,0.65,2018-03-14 10:38:41
Waves,WAVES,22753400,0.83,0.5,0.44,0.65,2018-03-14 10:38:41
Verge,XVG,8622479,0.8,0.56,0.37,0.64,2018-03-14 10:38:41
Siacoin,SC,5340113,0.88,0.53,0.33,0.64,2018-03-14 10:38:41
Golem,GNT,6297900,0.86,0.5,0.4,0.63,2018-03-14 10:38:41
Status,SNT,17516410,0.87,0.45,0.4,0.63,2018-03-14 10:38:41
NEM,XEM,157149559,0.61,0.52,0.37,0.63,2018-03-14 10:38:41
Steem Dollars,SBD,6352224,0.87,0.5,0.49,0.61,2018-03-14 10:38:41
Augur,REP,3821820,0.83,0.47,0.38,0.61,2018-03-14 10:38:41
BitShares,BTS,2852245,0.84,0.45,0.34,0.6,2018-03-14 10:38:41
0x,ZRX,6026911,0.8,0.47,0.3,0.6,2018-03-14 10:38:41
Nebulas,NAS,8709894,0.79,0.42,0.35,0.59,2018-03-14 10:38:41
Enigma,ENG,6296968,0.81,0.46,0.32,0.59,2018-03-14 10:38:41
Digibyte,DGB,2457594,0.82,0.44,0.32,0.59,2018-03-14 10:38:41
PIVX,PIVX,1433321,0.81,0.47,0.37,0.58,2018-03-14 10:38:41
Decred,DCR,762331,0.82,0.45,0.38,0.58,2018-03-14 10:38:41
ICON,ICX,48358321,0.47,0.53,0.44,0.58,2018-03-14 10:38:41
Bytom,BTM,6544010,0.79,0.36,0.31,0.58,2018-03-14 10:38:41
