id,name,symbol,rank,price,day_volume,market_cap,p_day_vol,available_supply,total_supply,p_tot_supply,max_supply,p_max_supply,p_change_hour,p_change_day,p_change_week,last_updated,load_date
bitcoin,Bitcoin,BTC,1,9290.39,6092870000.0,1.57173303686e+11,0.0387652982861,16917837.0,16917837.0,1.0,21000000.0,0.805611285714,-0.0027,0.0115,-0.1379,2018-03-14 10:34:27,2018-03-14 10:38:41
ethereum,Ethereum,ETH,2,702.501,1463630000.0,68966494453.0,0.0212223342887,98172806.0,98172806.0,1.0,1.0,0,0.0014,0.0051,-0.1345,2018-03-14 10:34:12,2018-03-14 10:38:41
ripple,Ripple,XRP,3,0.793815,281931000.0,31031590946.0,0.00908528990636,39091716516.0,99992497246.0,0.390946496914,1e+11,0.39091716516,-0.0051,0.0002,-0.1408,2018-03-14 10:34:01,2018-03-14 10:38:41
bitcoin-cash,Bitcoin Cash,BCH,4,1063.54,459788000.0,18097622056.0,0.0254059897249,17016400.0,17016400.0,1.0,21000000.0,0.810304761905,-0.0048,0.0053,-0.1121,2018-03-14 10:34:13,2018-03-14 10:38:41
litecoin,Litecoin,LTC,5,177.225,464467000.0,9856883411.0,0.0471210808359,55617906.0,55617906.0,1.0,84000000.0,0.662117928571,0.0018,-0.0033,-0.0975,2018-03-14 10:34:01,2018-03-14 10:38:41
cardano,Cardano,ADA,6,0.229624,122659000.0,5953477645.0,0.0206029160289,25927070538.0,31112483745.0,0.833333357455,45000000000.0,0.576157123067,-0.002,0.0239,-0.1841,2018-03-14 10:34:14,2018-03-14 10:38:41
neo,NEO,NEO,7,84.4542,122911000.0,5489523000.0,0.0223901056613,65000000.0,100000000.0,0.65,100000000.0,0.65,-0.0044,-0.0145,-0.2194,2018-03-14 10:34:08,2018-03-14 10:38:41
stellar,Stellar,XLM,8,0.293614,30331700.0,5431472437.0,0.00558443412018,18498683431.0,1.03768249378e+11,0.178269206061,1.0,0,-0.0042,0.0058,-0.1281,2018-03-14 10:34:03,2018-03-14 10:38:41
nem,NEM,XEM,9,0.48365,153544000.0,4352850000.0,0.0352743604765,8999999999.0,8999999999.0,1.0,1.0,0,0.0161,0.1626,0.4374,2018-03-14 10:34:05,2018-03-14 10:38:41
eos,EOS,EOS,10,5.92396,204893000.0,4304276667.0,0.0476021909955,726587733.0,900000000.0,0.807319703333,1000000000.0,0.726587733,-0.0019,0.0127,-0.1789,2018-03-14 10:34:11,2018-03-14 10:38:41
monero,Monero,XMR,11,250.198,69704000.0,3958538207.0,0.0176085202049,15821622.0,15821622.0,1.0,1.0,0,-0.001,-0.0275,-0.2825,2018-03-14 10:34:03,2018-03-14 10:38:41
dash,Dash,DASH,12,489.738,85938200.0,3890777646.0,0.0220876667389,7944610.0,7944610.0,1.0,18900000.0,0.42034973545,-0.0004,-0.0119,-0.143,2018-03-14 10:34:02,2018-03-14 10:38:41
iota,IOTA,MIOTA,13,1.34974,25580700.0,3751643204.0,0.00681853220283,2779530283.0,2779530283.0,1.0,2779530283.0,1.0,0.0095,0.0162,-0.1974,2018-03-14 10:34:11,2018-03-14 10:38:41
tron,TRON,TRX,14,0.0359382,201347000.0,2362871691.0,0.0852128368912,65748192475.0,1e+11,0.65748192475,1.0,0,0.0005,0.002,-0.1808,2018-03-14 10:34:14,2018-03-14 10:38:41
tether,Tether,USDT,15,1.00129,1890470000.0,2220000925.0,0.851562708245,2217140814.0,2280109970.0,0.972383281145,1.0,0,-0.0001,0.0003,0.0011,2018-03-14 10:34:06,2018-03-14 10:38:41
vechain,VeChain,VEN,16,4.52423,122248000.0,2209125888.0,0.0553377246014,488287706.0,873378637.0,0.559079058399,1.0,0,0.0006,0.1197,-0.0502,2018-03-14 10:34:13,2018-03-14 10:38:41
ethereum-classic,Ethereum Classic,ETC,17,20.1346,178713000.0,2023290376.0,0.0883279049413,100488233.0,100488233.0,1.0,1.0,0,-0.0008,-0.0135,-0.1935,2018-03-14 10:34:08,2018-03-14 10:38:41
lisk,Lisk,LSK,18,14.1273,17948000.0,1452160508.0,0.0123595152885,102791086.0,119007732.0,0.863734517687,1.0,0,-0.0055,0.0022,-0.1603,2018-03-14 10:34:07,2018-03-14 10:38:41
nano,Nano,NANO,19,10.817,46025300.0,1441346744.0,0.0319321497007,133248289.0,133248289.0,1.0,133248290.0,0.999999992495,-0.0089,0.0173,-0.1863,2018-03-14 10:34:09,2018-03-14 10:38:41
omisego,OmiseGO,OMG,20,13.7287,27032600.0,1400911580.0,0.0192964355395,102042552.0,140245398.0,0.727600002961,1.0,0,0.0041,0.0037,-0.1456,2018-03-14 10:34:12,2018-03-14 10:38:41
qtum,Qtum,QTUM,21,18.3657,105312000.0,1358088198.0,0.0775443009924,73946988.0,100446988.0,0.736179247107,1.0,0,-0.0078,-0.0028,-0.2616,2018-03-14 10:34:11,2018-03-14 10:38:41
bitcoin-gold,Bitcoin Gold,BTG,22,80.1391,18157100.0,1352691798.0,0.0134229393768,16879299.0,16979299.0,0.99411047535,21000000.0,0.803776142857,0.0004,0.0101,-0.2187,2018-03-14 10:34:16,2018-03-14 10:38:41
icon,ICON,ICX,23,3.0618,44068300.0,1182291149.0,0.0372736445141,386142514.0,400230000.0,0.964801524124,1.0,0,0.0248,0.1628,-0.0917,2018-03-14 10:34:15,2018-03-14 10:38:41
binance-coin,Binance Coin,BNB,24,10.233,224422000.0,1013210262.0,0.221495980071,99014000.0,197192382.0,0.502118788747,1.0,0,0.0035,0.271,0.0809,2018-03-14 10:34:12,2018-03-14 10:38:41
zcash,Zcash,ZEC,25,287.685,45650600.0,999491409.0,0.0456738292985,3474256.0,3474256.0,1.0,1.0,0,-0.0035,-0.0289,-0.2415,2018-03-14 10:34:08,2018-03-14 10:38:41
populous,Populous,PPT,26,19.1687,8809560.0,709319090.0,0.0124197418682,37004027.0,53252246.0,0.694881996151,53252246.0,0.694881996151,0.0026,0.1013,-0.0284,2018-03-14 10:34:11,2018-03-14 10:38:41
digixdao,DigixDAO,DGD,27,336.89,9851540.0,673780000.0,0.0146213007213,2000000.0,2000000.0,1.0,1.0,0,0.0179,-0.0091,-0.3004,2018-03-14 10:34:07,2018-03-14 10:38:41
steem,Steem,STEEM,28,2.62733,13190600.0,664156512.0,0.0198606800681,252787626.0,269761720.0,0.937077454874,1.0,0,0.0093,0.0487,-0.1854,2018-03-14 10:34:07,2018-03-14 10:38:41
bytecoin-bcn,Bytecoin,BCN,29,0.00309905,4777550.0,569545108.0,0.00838836104971,1.83780548099e+11,1.83780548099e+11,1.0,1.8447e+11,0.996262525609,-0.0105,-0.0389,-0.2149,2018-03-14 10:34:03,2018-03-14 10:38:41
waves,Waves,WAVES,30,5.65266,22751400.0,565266000.0,0.0402490155077,100000000.0,100000000.0,1.0,1.0,0,0.0019,0.0105,-0.0805,2018-03-14 10:34:07,2018-03-14 10:38:41
stratis,Stratis,STRAT,31,5.52052,5331360.0,545293742.0,0.009777042334,98775793.0,98775793.0,1.0,1.0,0,0.0041,0.0129,-0.2455,2018-03-14 10:34:08,2018-03-14 10:38:41
verge,Verge,XVG,32,0.0370501,7209250.0,544861970.0,0.0132313326988,14706086344.0,14706086344.0,1.0,16555000000.0,0.888316903896,0.0123,-0.0069,-0.2485,2018-03-14 10:34:04,2018-03-14 10:38:41
maker,Maker,MKR,33,819.144,748008.0,506417569.0,0.00147705775982,618228.0,1000000.0,0.618228,1.0,0,0.0035,0.0124,-0.1314,2018-03-14 10:34:09,2018-03-14 10:38:41
rchain,RChain,RHOC,34,1.36673,653623.0,491279145.0,0.00133045134656,359455887.0,870663574.0,0.412852791519,1000000000.0,0.359455887,0.0124,0.0546,-0.167,2018-03-14 10:34:15,2018-03-14 10:38:41
status,Status,SNT,35,0.138471,17989200.0,480561361.0,0.0374337211851,3470483788.0,6804870174.0,0.509999999891,1.0,0,0.0009,0.017,-0.1971,2018-03-14 10:34:12,2018-03-14 10:38:41
siacoin,Siacoin,SC,36,0.0140338,4700350.0,463545171.0,0.0101400042414,33030623997.0,33030623997.0,1.0,1.0,0,-0.0076,-0.0132,-0.1997,2018-03-14 10:34:06,2018-03-14 10:38:41
